epoch,loss,val_loss
0,0.3437151610851288,0.17088660597801208
1,0.2370174527168274,0.13637284934520721
2,0.21639235317707062,0.12552650272846222
3,0.20591087639331818,0.13200095295906067
4,0.20085035264492035,0.11907008290290833
5,0.19578956067562103,0.11658740043640137
6,0.19478881359100342,0.11436156928539276
7,0.19117875397205353,0.1232537180185318
8,0.18863865733146667,0.1289551705121994
9,0.18825675547122955,0.11717747151851654
10,0.1880815476179123,0.11262588202953339
11,0.1857006996870041,0.12596610188484192
12,0.18408653140068054,0.12365733832120895
13,0.18371039628982544,0.12384632974863052
14,0.18305060267448425,0.12192469090223312
15,0.18275590240955353,0.12391409277915955
16,0.182419553,0.10887211561203003
17,0.18187448382377625,0.110669345
18,0.18221645057201385,0.11154430359601974
19,0.18055413663387299,0.10931950807571411
20,0.18039558827877045,0.10647089779376984
21,0.1803274303674698,0.1346876472234726
22,0.180357426,0.1134897917509079
23,0.18072037398815155,0.10569204390048981
24,0.1796671450138092,0.12046454101800919
25,0.1791316270828247,0.10713300108909607
26,0.1785445660352707,0.12580019235610962
27,0.17818476259708405,0.11197789758443832
28,0.17844977974891663,0.11314128339290619
29,0.17796780169010162,0.1222023144364357
30,0.17739839851856232,0.1264074295759201
31,0.1774507611989975,0.12521018087863922
32,0.17722167074680328,0.11215873062610626
33,0.17781735956668854,0.11713434010744095
34,0.17715167999267578,0.132827491
35,0.1766076683998108,0.12462244927883148
36,0.1762622892856598,0.13168133795261383
37,0.1760038584470749,0.11744137853384018
38,0.17713725566864014,0.1172601729631424
39,0.17562247812747955,0.11898820847272873
40,0.17571605741977692,0.11994271725416183
41,0.17512911558151245,0.11737272888422012
42,0.17502079904079437,0.12868648767471313
43,0.17569267749786377,0.11395471543073654
44,0.17519529163837433,0.10676281154155731
45,0.17494601011276245,0.11310546845197678
46,0.17493119835853577,0.10340924561023712
47,0.17466306686401367,0.10930784791707993
48,0.1748543679714203,0.10665041208267212
49,0.1741698831319809,0.13567598164081573
50,0.17392925918102264,0.10461541265249252
51,0.17346987128257751,0.10039228945970535
52,0.17386850714683533,0.13056093454360962
53,0.17297115921974182,0.13217264413833618
54,0.17362798750400543,0.12219889461994171
55,0.17330843210220337,0.10494959354400635
56,0.17300082743167877,0.1377616822719574
57,0.1717737317085266,0.10595070570707321
58,0.1709347516298294,0.12513545155525208
59,0.17282308638095856,0.11154922097921371
60,0.172596738,0.12167337536811829
61,0.1721460372209549,0.11147258430719376
62,0.1721695214509964,0.1200793981552124
63,0.1699073612689972,0.12116818875074387
64,0.1712576150894165,0.10954640060663223
65,0.170699805,0.11982445418834686
66,0.17113308608531952,0.11371082067489624
67,0.1707676500082016,0.11665776371955872
68,0.1708524227142334,0.10445785522460938
69,0.17014186084270477,0.099993125
