IMS_Station,Distance [km],Azimuth [deg.],Back_Azimuth [deg.],Delay_Trop [s],Delay_Strat [s],Delay_Therm [s],ETA_Trop,ETA_Strat,ETA_Therm
I57US,4346.4477,134.7132,-18.6406,12783.6696,15250.6935,19756.5802,2015-02-27 01:39:27,2015-02-27 02:20:34,2015-02-27 03:35:40
I37NO,4743.724,6.4934,-6.8126,13952.1293,16644.6455,21562.3817,2015-02-27 01:58:56,2015-02-27 02:43:48,2015-02-27 04:05:46
I45RU,5089.4082,-79.1739,30.8791,14968.8478,17857.5728,23133.6738,2015-02-27 02:15:52,2015-02-27 03:04:01,2015-02-27 04:31:57
I59US,5404.4194,-171.3308,3.436,15895.3512,18962.8751,24565.5428,2015-02-27 02:31:19,2015-02-27 03:22:26,2015-02-27 04:55:49
I30JP,5607.7981,-92.5086,27.297,16493.5237,19676.4845,25489.9912,2015-02-27 02:41:17,2015-02-27 03:34:20,2015-02-27 05:11:13
I34MN,5718.5601,-56.2466,27.6255,16819.2945,20065.1232,25993.4551,2015-02-27 02:46:43,2015-02-27 03:40:49,2015-02-27 05:19:37
I46RU,5751.2543,-37.2364,22.6543,16915.4537,20179.8395,26142.0648,2015-02-27 02:48:19,2015-02-27 03:42:43,2015-02-27 05:22:06
I43RU,6137.3246,-4.1505,2.8322,18050.9547,21534.4723,27896.9301,2015-02-27 03:07:14,2015-02-27 04:05:18,2015-02-27 05:51:20
I51GB,6465.9316,81.6916,-26.0293,19017.446,22687.4794,29390.5983,2015-02-27 03:23:21,2015-02-27 04:24:31,2015-02-27 06:16:14
I31KZ,6658.1314,-19.5662,11.3528,19582.7395,23361.8646,30264.2337,2015-02-27 03:32:46,2015-02-27 04:35:45,2015-02-27 06:30:48
I26DE,6942.6636,12.7402,-7.2116,20419.5987,24360.223,31557.5616,2015-02-27 03:46:43,2015-02-27 04:52:24,2015-02-27 06:52:21
I42PT,7145.9969,47.654,-20.8839,21017.638,25073.6734,32481.8042,2015-02-27 03:56:41,2015-02-27 05:04:17,2015-02-27 07:07:45
I48TN,8331.1176,18.074,-8.239,24503.2871,29231.9916,37868.7164,2015-02-27 04:54:47,2015-02-27 06:13:35,2015-02-27 08:37:32
I21FR,8576.1177,171.0295,-3.3892,25223.8757,30091.6412,38982.3534,2015-02-27 05:06:47,2015-02-27 06:27:55,2015-02-27 08:56:06
I39PW,8668.8337,-99.7833,21.8621,25496.5698,30416.9605,39403.7897,2015-02-27 05:11:20,2015-02-27 06:33:20,2015-02-27 09:03:07
I24FR,9534.913,-179.7175,0.1111,28043.8618,33455.8351,43340.5137,2015-02-27 05:53:47,2015-02-27 07:23:59,2015-02-27 10:08:44
I11CV,9800.4187,51.5114,-17.6937,28824.7608,34387.434,44547.3576,2015-02-27 06:06:48,2015-02-27 07:39:31,2015-02-27 10:28:51
