IMS_Station,Distance [km],Azimuth [deg.],Back_Azimuth [deg.],Delay_Trop [s],Delay_Strat [s],Delay_Therm [s],ETA_Trop,ETA_Strat,ETA_Therm
I22FR,10653.5381,-139.5824,15.2063,31333.9356,37380.8354,48425.1732,2015-02-27 06:48:37,2015-02-27 08:29:24,2015-02-27 11:33:29
I13CL,11070.1573,144.8485,-14.0243,32559.2862,38842.6572,50318.8968,2015-02-27 07:09:03,2015-02-27 08:53:46,2015-02-27 12:05:02
I19DJ,11124.5262,-12.1147,4.6013,32719.1947,39033.4252,50566.0281,2015-02-27 07:11:43,2015-02-27 08:56:57,2015-02-27 12:09:10
I17CI,11250.4732,36.3736,-12.9249,33089.6269,39475.3444,51138.5143,2015-02-27 07:17:53,2015-02-27 09:04:19,2015-02-27 12:18:42
I08BO,11289.3009,104.8328,-22.1558,33203.826,39611.582,51315.0039,2015-02-27 07:19:47,2015-02-27 09:06:35,2015-02-27 12:21:39
I07AU,11518.4182,-109.7636,22.025,33877.7006,40415.5025,52356.4464,2015-02-27 07:31:01,2015-02-27 09:19:59,2015-02-27 12:39:00
I09BR,12073.7778,85.8168,-22.8282,35511.1112,42364.1326,54880.8082,2015-02-27 07:58:15,2015-02-27 09:52:28,2015-02-27 13:21:04
I06AU,12252.2916,-71.8448,21.3527,36036.1517,42990.4968,55692.2345,2015-02-27 08:07:00,2015-02-27 10:02:54,2015-02-27 13:34:36
I50GB,12550.7341,49.9116,-16.82,36913.9239,44037.6636,57048.7914,2015-02-27 08:21:37,2015-02-27 10:20:21,2015-02-27 13:57:12
I32KE,12578.5396,-6.3367,2.3702,36995.7047,44135.2267,57175.18,2015-02-27 08:22:59,2015-02-27 10:21:59,2015-02-27 13:59:19
I52GB,12611.0224,-45.7152,15.6887,37091.2423,44249.2014,57322.8291,2015-02-27 08:24:35,2015-02-27 10:23:53,2015-02-27 14:01:46
I36NZ,12655.1263,-158.6932,10.8921,37220.9597,44403.9519,57523.3013,2015-02-27 08:26:44,2015-02-27 10:26:27,2015-02-27 14:05:07
I14CL,12686.5283,120.9129,-22.7123,37313.3184,44514.1343,57666.0376,2015-02-27 08:28:17,2015-02-27 10:28:18,2015-02-27 14:07:30
I41PY,12778.1929,98.992,-24.3856,37582.9204,44835.7647,58082.6951,2015-02-27 08:32:46,2015-02-27 10:33:39,2015-02-27 14:14:26
I05AU,13359.9938,-130.3642,22.7732,39294.0994,46877.1712,60727.2445,2015-02-27 09:01:18,2015-02-27 11:07:41,2015-02-27 14:58:31
I04AU,13728.6659,-100.4229,26.5882,40378.4292,48170.7577,62403.027,2015-02-27 09:19:22,2015-02-27 11:29:14,2015-02-27 15:26:27
I33MG,14448.4323,-20.2545,7.8839,42495.3892,50696.2538,65674.6924,2015-02-27 09:54:39,2015-02-27 12:11:20,2015-02-27 16:20:58
I35NA,14506.3971,16.7468,-6.5627,42665.8737,50899.6388,65938.1685,2015-02-27 09:57:29,2015-02-27 12:14:43,2015-02-27 16:25:22
I02AR,15167.388,123.7329,-32.5164,44609.9647,53218.9053,68942.6727,2015-02-27 10:29:53,2015-02-27 12:53:22,2015-02-27 17:15:26
I47ZA,15619.6746,7.9629,-3.3892,45940.2194,54805.8758,70998.5209,2015-02-27 10:52:04,2015-02-27 13:19:49,2015-02-27 17:49:42
I49GB,15672.0806,60.3126,-24.0776,46094.3546,54989.7564,71236.7299,2015-02-27 10:54:38,2015-02-27 13:22:53,2015-02-27 17:53:40
I55US,16458.4315,-163.9964,29.0788,48407.1515,57748.8825,74811.0523,2015-02-27 11:33:11,2015-02-27 14:08:52,2015-02-27 18:53:15
I23FR,17032.8352,-65.9836,31.683,50096.5741,59764.334,77421.9781,2015-02-27 12:01:20,2015-02-27 14:42:28,2015-02-27 19:36:45
I03AU,18125.3388,-113.842,69.7814,53309.8201,63597.6801,82387.9038,2015-02-27 12:54:53,2015-02-27 15:46:21,2015-02-27 20:59:31
I27DE,18472.6834,118.9249,-81.9483,54331.4217,64816.433,83966.7427,2015-02-27 13:11:55,2015-02-27 16:06:40,2015-02-27 21:25:50
I18DK,2561.4262,32.2505,-70.3808,7533.6065,8987.4604,11642.8464,2015-02-27 00:11:57,2015-02-27 00:36:11,2015-02-27 01:20:26
I56US,2819.5989,124.8326,-27.5098,8292.9379,9893.3294,12816.3586,2015-02-27 00:24:36,2015-02-27 00:51:17,2015-02-27 01:40:00
I44RU,3207.0556,-93.943,38.5,9432.5165,11252.8267,14577.5256,2015-02-27 00:43:36,2015-02-27 01:13:56,2015-02-27 02:09:21
I10CA,3452.3767,97.7325,-35.4491,10154.0492,12113.6025,15692.6215,2015-02-27 00:55:38,2015-02-27 01:28:17,2015-02-27 02:27:56
I53US,351.1376,171.1868,-7.7688,1032.7578,1232.0619,1596.0802,2015-02-26 22:23:36,2015-02-26 22:26:56,2015-02-26 22:33:00
